updated_at,usd_rate,gbp_rate,eur_rate
"Dec 28, 2023 20:18:00 UTC","42,475.0881","35,491.8438","41,376.9371"
"Dec 28, 2023 20:18:00 UTC","42,475.0881","35,491.8438","41,376.9371"
"Dec 28, 2023 20:19:00 UTC","42,469.8233","35,487.4446","41,371.8085"
"Dec 28, 2023 20:20:00 UTC","42,484.8008","35,499.9597","41,386.3988"
